 wavelength   u             g             r            i            z            Y            VR             
  405          0.414589      87.26447586   7.3378E-4    0.00775889   0.00199955   2.1132E-4    0.001157931    
  406          0.20807424    87.49566207   8.1795E-4    0.00815577   0.00179522   4.0328E-4    8.77931E-4     
  407          0.11010031    87.70112759   0.00121963   0.00674113   0.00213135   3.6E-4       0.0010558621   
  408          0.05771183    87.86204483   0.00141666   0.00589929   0.00209546   4.5216E-4    0.001332069    
  409          0.03360641    87.93568621   0.00123111   0.00592998   0.00205534   1.2589E-4    0.0012675862   
  410          0.02115652    87.9669931    7.4529E-4    0.00772778   0.0020061    2.964E-4     0.0011503448   
  411          0.01387476    87.99443793   4.6847E-4    0.01021578   0.00197619   4.3219E-4    0.0010672414   
  412          0.00813465    87.92328621   4.7498E-4    0.01063406   0.00198076   2.9206E-4    8.137931E-4    
  413          0.00610193    87.76637931   4.9269E-4    0.00812732   0.00191826   2.506E-4     9.696552E-4    
  414          0.00383445    87.68468966   7.2451E-4    0.00621707   0.00188403   3.5341E-4    8.186207E-4    
  415          0.00260776    87.86452414   0.00122836   0.00645057   0.00193726   2.7943E-4    9.555172E-4    
  416          0.00182824    88.14412759   0.00233487   0.0060345    0.00179322   2.1146E-4    8.975862E-4    
  417          0.00181734    88.41967241   0.00224386   0.00470619   0.00161007   5.5145E-4    0.001292069    
  418          0.0013841     88.72662414   0.00157207   0.00414181   0.00199771   5.4734E-4    0.0010413793   
  419          0.00137934    88.98606897   0.00112348   0.00427978   0.00201551   2.9255E-4    7.055172E-4    
  420          8.7362E-4     89.0240069    0.00116139   0.00475494   0.00149316   5.6706E-4    8.062069E-4    
  421          0.00112765    88.84661034   0.00130961   0.00622417   0.0018644    5.1162E-4    7.506897E-4    
  422          9.9293E-4     88.70791724   0.00238702   0.00767551   0.00194369   4.0275E-4    7.451724E-4    
  423          0.00115555    88.63393103   0.00385404   0.00900615   0.00183506   5.5118E-4    0.0010175862   
  424          9.4645E-4     88.63782414   0.00404442   0.01159688   0.00179152   5.6739E-4    6.975862E-4    
  425          0.00112172    88.75926207   0.00233449   0.01435162   0.00175587   5.4762E-4    7.068966E-4    
  426          0.00110034    89.01743448   9.8521E-4    0.01390854   0.00201885   0.00198476   6.524138E-4    
  427          0.00108617    89.23626552   1.8908E-4    0.00893706   0.00202702   0.00399321   6.686207E-4    
  428          0.00116066    89.37482069   3.1752E-4    0.00417602   0.00172733   0.00524905   5.744828E-4    
  429          9.2562E-4     89.52267931   4.8498E-4    0.00276748   0.00185917   0.00451631   6.631034E-4    
  430          0.00130559    89.69563793   0.00144665   0.00226357   0.00174164   0.00252284   5.493103E-4    
  431          0.00119897    89.78473103   0.002092     0.00217063   0.00183306   0.00143733   6.355172E-4    
  432          9.2824E-4     89.71944483   0.00133381   0.00233654   0.00215025   6.1673E-4    5.289655E-4    
  433          9.6093E-4     89.66303103   6.242E-4     0.00237619   0.00183899   6.1344E-4    6.724138E-4    
  434          7.749E-4      89.64353448   5.2033E-4    0.00272671   0.00205208   4.1282E-4    6.941379E-4    
  435          0.001057      89.62855172   1.384E-4     0.00351678   0.00194975   2.4677E-4    4.910345E-4    
  436          7.88E-4       89.62520345   5.1307E-4    0.00389738   0.00204999   4.8494E-4    6.262069E-4    
  437          8.1879E-4     89.74268966   0.00115804   0.00295083   0.00189774   3.7863E-4    6.0E-4         
  438          7.681E-4      89.99773103   0.00181881   0.00200903   0.00182137   1.35E-5      3.489655E-4    
  439          7.3403E-4     90.25821379   0.00125636   0.00226437   0.00205632   3.0917E-4    6.341379E-4    
  440          8.6614E-4     90.48555862   3.843E-4     0.00217085   0.0019601    1.3065E-4    4.662069E-4    
  441          7.6835E-4     90.70656207   0.00111447   0.00224892   0.00179661   5.4898E-4    5.62069E-4     
  442          7.3059E-4     90.93452759   0.0021143    0.00379447   0.00182875   4.2377E-4    5.427586E-4    
  443          9.099E-4      91.08799655   0.0023879    0.00715143   0.00198547   3.6188E-4    4.617241E-4    
  444          5.7672E-4     91.12642069   0.00137969   0.01140102   0.00176831   1.105E-4     4.155172E-4    
  445          6.9662E-4     91.11236207   4.4421E-4    0.01337397   0.00207003   7.95E-5      5.462069E-4    
  446          8.6655E-4     91.09028621   1.6107E-4    0.0123309    0.00194999   1.8386E-4    4.275862E-4    
